0.5 | 0.1 | Linear Regression | Lambda =1.13e-01 | Raw | PCA = 10 | ActDCF =1.852 | MinDCF =0.848
0.5 | 0.5 | Linear Regression | Lambda =1.13e-01 | Raw | PCA = 10 | ActDCF =0.423 | MinDCF =0.412
0.5 | 0.9 | Linear Regression | Lambda =1.13e-01 | Raw | PCA = 10 | ActDCF =2.381 | MinDCF =0.977
0.5 | 0.1 | Linear Regression | Lambda =1.13e-01 | Normalized | PCA = 10 | ActDCF =2.095 | MinDCF =0.829
0.5 | 0.5 | Linear Regression | Lambda =1.13e-01 | Normalized | PCA = 10 | ActDCF =0.385 | MinDCF =0.377
0.5 | 0.9 | Linear Regression | Lambda =1.13e-01 | Normalized | PCA = 10 | ActDCF =1.755 | MinDCF =0.874
0.5 | 0.1 | Linear Regression | Lambda =2.64e-01 | Raw | PCA = 10 | ActDCF =1.889 | MinDCF =0.865
0.5 | 0.5 | Linear Regression | Lambda =2.64e-01 | Raw | PCA = 10 | ActDCF =0.427 | MinDCF =0.409
0.5 | 0.9 | Linear Regression | Lambda =2.64e-01 | Raw | PCA = 10 | ActDCF =2.385 | MinDCF =0.998
0.5 | 0.1 | Linear Regression | Lambda =2.64e-01 | Normalized | PCA = 10 | ActDCF =2.251 | MinDCF =0.826
0.5 | 0.5 | Linear Regression | Lambda =2.64e-01 | Normalized | PCA = 10 | ActDCF =0.411 | MinDCF =0.385
0.5 | 0.9 | Linear Regression | Lambda =2.64e-01 | Normalized | PCA = 10 | ActDCF =1.860 | MinDCF =0.889
0.5 | 0.1 | Linear Regression | Lambda =6.16e-01 | Raw | PCA = 10 | ActDCF =2.055 | MinDCF =0.897
0.5 | 0.5 | Linear Regression | Lambda =6.16e-01 | Raw | PCA = 10 | ActDCF =0.437 | MinDCF =0.432
0.5 | 0.9 | Linear Regression | Lambda =6.16e-01 | Raw | PCA = 10 | ActDCF =2.316 | MinDCF =0.995
0.5 | 0.1 | Linear Regression | Lambda =6.16e-01 | Normalized | PCA = 10 | ActDCF =2.241 | MinDCF =0.837
0.5 | 0.5 | Linear Regression | Lambda =6.16e-01 | Normalized | PCA = 10 | ActDCF =0.420 | MinDCF =0.413
0.5 | 0.9 | Linear Regression | Lambda =6.16e-01 | Normalized | PCA = 10 | ActDCF =1.960 | MinDCF =0.902
0.5 | 0.1 | Linear Regression | Lambda =1.44e+00 | Raw | PCA = 10 | ActDCF =2.800 | MinDCF =1.000
0.5 | 0.5 | Linear Regression | Lambda =1.44e+00 | Raw | PCA = 10 | ActDCF =0.536 | MinDCF =0.510
0.5 | 0.9 | Linear Regression | Lambda =1.44e+00 | Raw | PCA = 10 | ActDCF =2.559 | MinDCF =0.993
0.5 | 0.1 | Linear Regression | Lambda =1.44e+00 | Normalized | PCA = 10 | ActDCF =2.282 | MinDCF =0.861
0.5 | 0.5 | Linear Regression | Lambda =1.44e+00 | Normalized | PCA = 10 | ActDCF =0.442 | MinDCF =0.431
0.5 | 0.9 | Linear Regression | Lambda =1.44e+00 | Normalized | PCA = 10 | ActDCF =2.139 | MinDCF =0.903
0.5 | 0.1 | Linear Regression | Lambda =3.36e+00 | Raw | PCA = 10 | ActDCF =3.647 | MinDCF =1.000
0.5 | 0.5 | Linear Regression | Lambda =3.36e+00 | Raw | PCA = 10 | ActDCF =0.665 | MinDCF =0.636
0.5 | 0.9 | Linear Regression | Lambda =3.36e+00 | Raw | PCA = 10 | ActDCF =3.001 | MinDCF =0.998
0.5 | 0.1 | Linear Regression | Lambda =3.36e+00 | Normalized | PCA = 10 | ActDCF =2.342 | MinDCF =0.878
0.5 | 0.5 | Linear Regression | Lambda =3.36e+00 | Normalized | PCA = 10 | ActDCF =0.456 | MinDCF =0.445
0.5 | 0.9 | Linear Regression | Lambda =3.36e+00 | Normalized | PCA = 10 | ActDCF =2.218 | MinDCF =0.905
0.5 | 0.1 | Linear Regression | Lambda =7.85e+00 | Raw | PCA = 10 | ActDCF =3.905 | MinDCF =1.000
